lambda_l1,lambda_l2,mean_score,std_score
0.1,0.0,0.17441975121547845,0.005160865696027556
0.1,0.1,0.1744576511845339,0.004942820002657373
0.001,0.1,0.17447156594962418,0.005040011332083666
0.1,0.001,0.17450297763919567,0.005069341868126244
0.01,0.1,0.174519102112426,0.0050744522934379034
0.01,0.001,0.17452397169057826,0.005071278687118335
0.001,0.01,0.17452869025927026,0.005022849799611579
0.0,0.01,0.17452960489103786,0.0050570855913834555
0.01,0.0,0.17453900265799893,0.005002104651981231
0.0,0.1,0.1745730654393562,0.0050469282640410035
0.001,0.0,0.17459181456707712,0.005128921001726099
0.1,0.01,0.17460091865098534,0.005122001857632803
0.01,0.01,0.17460562065826318,0.005149311103163288
0.0,0.0,0.17462213192324444,0.00506767943105205
0.001,0.001,0.17466900829337323,0.005143816499489348
0.0,0.001,0.17467934251064104,0.005102644437248117
